price,Sales Package,Model Number,Part Number,Series,Color,Type,Suitable For,Battery Backup,Power Supply,MS Office Provided,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Chipset,Clock Speed,Memory Slots,Expandable Memory,RAM Frequency,Cache,Graphic Processor,Number of Cores,OS Architecture,Operating System,System Architecture,Mic In,RJ45,USB Port,HDMI Port,Hardware Interface,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Refresh Rate,Wireless LAN,Bluetooth,Ethernet,Dimensions,Weight,Disk Drive,Web Camera,Finger Print Sensor,Keyboard,Backlit Keyboard,Pointer Device,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,HDD Capacity,RPM,Sound Chip,Lock Port,Model Name,Supported Operating System,Multi Card Slot,Included Software,Battery Cell,Security Chip,TGP,International Warranty,S-video,RJ11,VGA Port,NFC Support,Face Recognition,Laptop Bag,Antivirus,Dock Port,Firewire Port,Read/Write Speed,Wireless WAN,Stylus Included,Other Accessories,Optane Memory,Inbuilt 4G LTE,Recovery Options,EMMC Storage Capacity
"41,990","Laptop, Battery, Adapter, Cables and User Manuals",15s-dy3501TU,5S7P8PA#ACJ,,Natural Silver,Thin and Light Laptop,Everyday Use,,,Yes,,,Intel,Core i3,11th Gen,Yes,512 GB,8 GB,DDR4,1125G4,,Max Turbo Frequency Up to 3.7 GHz,,,,8 MB,Intel Integrated UHD,4,64 bit,Windows 11 Home,64 bit,Yes,,"1 x Super Speed USB Type-C 5 Gbps signaling rate, 2 x Super Speed USB Type-A 5 Gbps signaling rate",1 x HDMI 1.4b,PCIe NVMe TLC M.2,No,39.62 cm (15.6 inch),1366 x 768 Pixel,"HD, micro-edge, anti-glare, Brightness: 250 nits, 101 ppi, Color Gamut: 45% NTSC",Built-in Dual Speakers,Built-in Dual Array Digital Microphone,,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),v5.0,Integrated 10/100/1000 GbE LAN,358 x 242 x 19.9 mm,1.75 kg,Not Available,HP True Vision 720p HD camera,No,"Full-size, jet black keyboard with numeric keypad",No,Touchpad with multi-touch gesture support,"41 Wh Li-ion, Support battery fast charge",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,"Energy Star Certified, EPEAT Silver Registered",15s-dy3501TU,Windows 11 Home,1 multi-format SD media card reader (Support SD/SDHC/SDxC),Microsoft Office Home & Student 2019,3 Cell,,,,,,,,,,,,,,,,,,,,
"61,990","Laptop, Power Adaptor, User Guide, Warranty Documents",15IMH05,81Y401APIN/81Y4017UIN,IdeaPad Gaming 3,Onyx Black,Gaming Laptop,"Gaming, Processing & Multitasking",Upto 8 hours,135 W Slim Tip Adapter,No,GDDR6,4 GB,Intel,Core i5,10th Gen,Yes,512 GB,8 GB,DDR4,10300H,Intel HM470,2.50 GHz with Turbo Boost Upto 4.50 GHz,2 Slots,Upto 16 GB,2933 MHz,8 MB,NVIDIA GeForce GTX 1650,4,64 bit,Windows 10 Home,64 bit,Yes,Yes,"1 x USB-C 3.2 (1st Gen), 2 x USB 3.2 (1st Gen)",1x HDMI Port (v2.0),NVMe PCIe,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit Anti-glare IPS Display (120Hz Refresh Rate, 250 nits Brightness)",Built-in Dual Speakers,Dual Array Microphone,"1.5 W x 2 Stereo Speakers, Dolby Audio",120 Hz,AX 2x2 (WiFi 6),v5.0,100/1000M,359 x 249.6 x 24.9 mm,2.2 kg,Not Available,720p Webcam (with Privacy Shutter),No,Blue LED Backlit English Keyboard,Yes,Touchpad,"Rapid Charge Technology, Integrated 45Wh Battery, Cooling System with Dual Vents and Dual Action Fans",1 Year Warranty + 1 Year Premium Care + 1 Year ADP,Onsite,"(1) Manufacturer’s warranty against faulty workmanship or defective parts; (2) ADP-Single repair once in year against all Liquid spills, unintentional bump and drops, electric surge, cracks on screen; (3) Premium Care- 24x7 on call support, Software support in case of HDD failure","(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty; (3) Premium Care & ADP- Not covered in case of Theft, fire, rain, flood and part alteration",1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"55,490","Laptop, battery, power adapter, user guide",GF63 Thin 10SCXR-1618IN / GF63 Thin 10SC-612IN,9S7-16R512-612,GF63 Thin,Black,Gaming Laptop,Gaming,,120W Adapter,No,GDDR6,4 GB,Intel,Core i5,10th Gen,No,,8 GB,DDR4,10300H,,2.5 GHz with 4.5 GHz Max Turbo Boost Frequency,,,,8,NVIDIA GeForce GTX 1650 Max Q,,64 bit,Windows 10 Home,64,,Yes,"1x Type-C USB3.2 (Gen1), 3x Type-A USB3.2 (Gen1)",1 x HDMI Port,NVMe PCIe,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit IPS Display (60Hz Refresh Rate, 45%NTSC Color Gamut)",Built in Dual Speakers,Built-in Microphones,2x 2W Stereo Speakers,60 Hz,Intel Wi-Fi 6 AX201(2*2 ax),v5.1,Yes,359 x 254 x 21.7,1.86 KG,Not Available,720p HD Webcam (30fps@720p),,Single Backlit Keyboard (Red),Yes,Touchpad,"3-Cell, 51 Whr Battery",2 Year Warranty Term for Gaming & Content Creation (EU-WE),Carry-In Warranty,Part Failure,"Physical Damage, Burn, Liquid Spill",,1 TB,,Realtek ALC 269,,GF63 Thin 10SCXR-1618IN / GF63 Thin 10SC-612IN,,,"Silver-Lining Print, Cooler Boost, Audio Boost, Dragon Center, Nahimic 3",3,,,,,,,,,,,,,,,,,,,,
"75,446","Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",S3402ZA-KM502WS,90NB0WE2-M007V0,Vivobook S14 OLED (2022) Intel EVO,Indie Black,Thin and Light Laptop,Processing & Multitasking,,90W AC Adapter,Yes,,,Intel,Core i5,12th Gen,Yes,512 GB,16 GB,DDR4,12500H,,4.5,1,,,18,Intel Integrated Iris Xe Graphics,8,64 bit,Windows 11 Home,64,Yes,,"1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-A, 2x Thunderbolt 4 supports display, power delivery",1x HDMI 2.0b,NVMe PCIe,No,35.56 cm (14 Inch),2880 x 1800 Pixels,"OLED, (Peak brightness 600 Nits, 100% DCI-P3 color gamut)",Built in speaker,Built in array microphone,,,Wi-Fi 6E(802.11ax),v5.2,,316.4 x 224.5 x 18.9 mm,1.50 Kg,Not Available,"720p HD camera, With privacy shutter",Yes,Backlit Chiclet Keyboard,Yes,,"70WHrs, 3S1P, Li-ion Battery",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,S3402ZA-KM502WS,Windows 11 Home,,,3,,,,,,,,,,,,,,,,,,,,
"44,990","Laptop, Power Adaptor, User Guide, Warranty Documents",S145-15IIL,81W800TEIN,Ideapad S145,Platinum Grey,Laptop,Processing & Multitasking,Upto 6 hours,65 W AC Adapter,Yes,,,Intel,Core i5,10th Gen,No,,8 GB,DDR4,1035G1,,1 GHz with Turbo Boost Upto 3.6 GHz,,,2666 MHz,6 MB,Intel Integrated UHD,4,64 bit,Windows 10 Home,64 bit,Yes,,"1 x USB 2.0, 2 x USB 3.1 (1st Gen)",1 x HDMI Port (v1.4b),SATA,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit Anti-glare TN Display (220 nits Brightness, 16:9 Aspect Ratio)",Built-in Dual Speakers,Integrated Monaural Microphone,2 x 1.5 W Stereo Speakers with Dolby Audio,,IEEE 802.11ac (1x1),v5.0,,362.2 x 251.5 x 19.9 mm,1.85 kg,Not Available,0.3 MP Webcam (Fixed Focus),No,English Non Backlit Keyboard,No,Multi-touch Touchpad,35 WHrs Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,1 TB,5400,,,,,"4-in-1 Media Reader (MMC, SD, SDHC, SDXC)",Microsoft Office Home and Student 2019,,TPM 2.0,,,,,,,,,,,,,,,,,,,
"94,990","Laptop, Power Adaptor, User Guide, Warranty Documents",AN515-45/ AN515-45-R2GL,NH.QBCSI.002 / NH.QBCSI.009,Nitro 5,Black,Gaming Laptop,Gaming,,3-pin 180 W AC Adapter,No,GDDR6,6 GB,AMD,Ryzen 7 Octa Core,,Yes,256 GB,16 GB,DDR4,5800H,,"3.2 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",,32,,,NVIDIA GeForce RTX 3060,8,64 bit,Windows 10 Home,64,Yes,Yes,"2 x USB 3.2 Gen 1, 1 x USB Type-C Port (USB 3.2 Gen 2), 1 x USB 3.2 Gen 2 Port with Power-off Charging",1 x HDMI Port,PCIe NVMe,No,39.62 cm (15.6 inch),1920 X 1080 Pixels,"Full HD With IPS (In-Plane Switching) technology ( Acer ComfyView LED-backlit TFT LCD, 16:9 aspect ratio, supporting 144 Hz refresh rate)",Built-in Speaker,Built-in Dual Microphones,"DTS X:Ultra Audio, Featuring Optimized Bass, Loudness, Speaker Protection with up to 6 Custom Content Modes by Smart Amplifier",144 Hz,802.11a/b/g/n/acR2+ax wireless LAN,v5.1,Killer Ethernet E2600,363.4 x 255 x 23.9,2.4 kg,Not Available,"720p HD Webcam (1280 x 720 Resolution, Super High Dynamic Range Imaging)",No,FineTip RGB-backlit Keyboard with Independent Standard Numeric Keypad ( International Language Support),Yes,"Multi-gesture Touchpad, Supporting Two-finger Scroll; Pinch; Gestures to Open Cortana, Action Center, Multitasking; Application Commands",57.5 Wh 4-cell Li-ion�battery,1 Year International Travelers Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,1 TB,5400,,Kensington Lock Slot,,,,"Quick Access, Acer Care Center, Acer Product Registration, NitroSense, GOTrust, PC Manager",4,,,1 Year,,,,,,,,,,,,,,,,,
"65,990","Laptop, Power Adaptor, User Guide, Warranty Documents",FX506LI-HN271TS,90NR03T2-M08010,TUF Gaming F15,Black Plastic,Gaming Laptop,"Gaming, Processing & Multitasking",,150 W AC Adapter,Yes,GDDR6,4 GB,Intel,Core i5,10th Gen,Yes,512 GB,8 GB,DDR4,10300H,Mobile Intel HM470 Express Chipsets,2.5 GHz to max turbo frequency at 4.5 Ghz,2,,2933 MHz,8,NVIDIA GeForce GTX 1650 Ti,4,64 bit,Windows 10 Home,64,Yes,No,"1x USB 2.0 Type-A, 2x USB 3.2 (Gen 1) Type-A, 1x Type C USB 3.2 (Gen 2) with Display Port and G-Sync",1x HDMI (v2.0b),PCIe NVMe M.2,No,39.62 cm (15.6 Inch),1920x1080 Pixels,"Full HD LED Backlit, IPS Anti-Glare Display (250nits Brightness, 144 Hz Refresh Rate, 45% NTSC Color Gamut, 62.5% sRGB)",Built in Speakers,Built-in array microphone,DTS software,144 Hz,Wi-Fi 6(802.11ax),v5.2,10/100/1000,359 x 256 x 24.9,2.3 KG,Not Available,720P HD Webcam,,RGB Backlit Chiclet English Keyboard,Yes,Precision Touchpad with Multi-Gesture Support,Military Grade Durability,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,Kensington Lock Port,,,,Microsoft Office Home and Student 2019,3,,50 W,,,,,,,,,,,,,,,,,,
"35,990","Laptop, Battery, Adapter, Cables and User Manuals",Inspiron 3511,D560646WIN9B,Inspiron,Carbon Black,Thin and Light Laptop,Everyday Use,Upto 7 Hours,,Yes,,,Intel,Core i3,11th Gen,No,,8 GB,DDR4,1115G4,,1.7 GHz Upto Max Turbo Frequency at 4.1 GHz,2,16 GB,2666 MHz,6 MB,Intel Integrated UHD,2,64 bit,Windows 11 Home,64 bit,Yes,No,"2 x USB 3.2 Gen 1 ,1 x USB 2.0",1 x HDMI 1.4,NA,No,38.0 cm (14.96 inch),1920 x 1080 Pixel,"Full HD, WVA AG Narrow Border",Yes,Yes,Waves Maxx Audio Pro,,802.11ac,v5.0,Available,358 x 235 x 18.9 mm,1.8 kg,Not Available,HD,No,English International Non Backlit Keyboard,No,Touchpad,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,1 TB,5400,,Kensington Lock Port,Inspiron 3511,Windows 11 Home,"1 x SD Media Card Reader (SD, SDHC, SDXC)",Microsoft Office Home & Student 2021,3 Cell,,,,,No,No,,,No,McAfee,No,No,NA,,,,,,,
"1,33,990","MacBook Pro, 61 W USB-C Power Adapter, USB-C Charge Cable (2m), User Guide, Warranty Documents",MYD92HN/A,MYD92HN/A,2020 Macbook Pro,Space Grey,Thin and Light Laptop,Processing & Multitasking,Upto 17 hours,61 W AC Adapter,No,,,Apple,M1,,Yes,512 GB,8 GB,DDR4,Apple M1 Chip,,,,Upto 16 GB,,,NA,8,,Mac OS Big Sur,,Yes,,"2 x Thunderbolt / USB 4 Ports (Supports Charging, DisplayPort, Thunderbolt 3 (Upto 40 Gbps), USB 3.1 (2nd Gen, Upto 10 Gbps))",,,No,33.78 cm (13.3 inch),2560 x 1600 Pixel,"Quad LED Backlit IPS Display (227 PPI, 500 nits Brightness, Wide Colour (P3), True Tone Technology)",Built-in Speakers,Studio Quality Three-mic Array with Directional Beamforming,"Stereo Speakers with High Dynamic Range, Wide Stereo Sound, Support for Dolby Atmos Playback",,IEEE 802.11ax (Wi-Fi 6),v5.0,,304.1 x 212.4 x 15.6 mm,1.4 kg,Not Available,720p FaceTime HD Webcam,,Backlit Magic Keyboard,,Force Touch Trackpad,58.2 WHr Li-polymer Battery,1 Year Limited Warra­nty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",,,,,,,,,,,,,,,,,,,,,
"42,490","Laptop, Power Adaptor, User Guide, Warranty Documents",15s-FR2508TU,546K3PA#ACJ,,Natural Silver,Laptop,Processing & Multitasking,,,Yes,,,Intel,Core i3,11th Gen,Yes,512 GB,8 GB,DDR4,1125G4,,3.7,,16,2666 MHz,8,Intel Integrated UHD Graphics,4,64 bit,Windows 11 Home,64,Yes,,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1 x HDMI 1.4b,PCIe NVMe,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"FHD, micro-edge, anti-glare (Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC)",Dual Speakers,,,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,v5.0,,358 x 242 x 17.9 mm,1.69 Kg,Not Available,HP True Vision 720p HD camera,,"Full-size, natural silver keyboard with numeric keypad",,HP Imagepad with multi-touch gesture support,41 Wh Li-ion,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical damage,1 Year,,,,,15s FR2508TU,Windows 11 Home,1 x multi-format SD media card reader,,3,,,,,,,,,,,,,,,,,,,,
"61,990","Laptop, Power Adaptor, User Guide, Warranty Documents",15IMH05,81Y401APIN/81Y4017UIN,IdeaPad Gaming 3,Onyx Black,Gaming Laptop,"Gaming, Processing & Multitasking",Upto 8 hours,135 W Slim Tip Adapter,No,GDDR6,4 GB,Intel,Core i5,10th Gen,Yes,512 GB,8 GB,DDR4,10300H,Intel HM470,2.50 GHz with Turbo Boost Upto 4.50 GHz,2 Slots,Upto 16 GB,2933 MHz,8 MB,NVIDIA GeForce GTX 1650,4,64 bit,Windows 10 Home,64 bit,Yes,Yes,"1 x USB-C 3.2 (1st Gen), 2 x USB 3.2 (1st Gen)",1x HDMI Port (v2.0),NVMe PCIe,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit Anti-glare IPS Display (120Hz Refresh Rate, 250 nits Brightness)",Built-in Dual Speakers,Dual Array Microphone,"1.5 W x 2 Stereo Speakers, Dolby Audio",120 Hz,AX 2x2 (WiFi 6),v5.0,100/1000M,359 x 249.6 x 24.9 mm,2.2 kg,Not Available,720p Webcam (with Privacy Shutter),No,Blue LED Backlit English Keyboard,Yes,Touchpad,"Rapid Charge Technology, Integrated 45Wh Battery, Cooling System with Dual Vents and Dual Action Fans",1 Year Warranty + 1 Year Premium Care + 1 Year ADP,Onsite,"(1) Manufacturer’s warranty against faulty workmanship or defective parts; (2) ADP-Single repair once in year against all Liquid spills, unintentional bump and drops, electric surge, cracks on screen; (3) Premium Care- 24x7 on call support, Software support in case of HDD failure","(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty; (3) Premium Care & ADP- Not covered in case of Theft, fire, rain, flood and part alteration",1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44,490","Laptop, battery, adapter, cables and user manuals","Inspiron 3511,Inspiron 3000",D560727WIN9B,Inspiron,Carbon Black,Thin and Light Laptop,"Everyday Use, Processing & Multitasking",Upto 7 hours,,Yes,,,Intel,Core i3,11th Gen,Yes,256 GB,8 GB,DDR4,1115G4,,4.1,2,16,2666 MHz,6,Intel Integrated UHD Graphics,2,64 bit,Windows 11 Home,64,Yes,No,"2x USB 3.2 Gen1 ,1x USB 2.0",1x HDMI 1.4 port,M.2 SATA,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"FHD, WVA AG Narrow Border",Yes,Yes,Waves Maxx Audio Pro,,802.11ac,v5.0,Yes,358 X 235 X 18.9 mm,1.8 Kgs,Not Available,HD,No,English International Non Backlit Keyboard,No,Touchpad,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,1 TB,5400,,Kensington Lock Port,Inspiron 3511,Windows 11,1 x SD Media Card Reader,,3,,,,,,,,,,,,,,,,,,,,
"69,490","Laptop, battery, adapter, cables and user manuals",G15-5511,D560825WIN9B,,Dark Shadow Grey,Gaming Laptop,Gaming,Upto 10 Hours,,Yes,GDDR6,4 GB,Intel,Core i5,11th Gen,Yes,512 GB,8 GB,DDR4,11260H,,2.6 GHz upto max turbo frequency at 4.4 Ghz,2,,,12,NVIDIA GeForce RTX 3050,8,64 bit,Windows 11 Home,,Yes,Yes,"1 x HiSpeed USB 2.0, 2 x HiSpeed USB 2.0 with PowerShare, 3 x USB 3.2 Gen 1 Type-C port with DisplayPort with alt mode, 4 x SuperSpeed USB 3.2",1 x HDMI 2.0 port,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD 120Hz 250 nits WVA Anti- Glare LED Backlit Narrow Border Display,Yes,Yes,Nahimic 3D Audio,,Intel Wi-Fi 6 AX201 (2x2),v5.0,,357 x 272 x 24.9 mm,2.65 kg,Not Available,HD,No,English International Backlit Keyboard Orange,Yes,,,1 Year Premium Support,Onsite,Manufacturing Defects,Accidental Damage,1 Year,,,,,G15-5511,Windows 11 Home,1x SD-card slot,Office Home and Student 2021,3 cell,,,,,,,,,,,,,,,,,,,,
"53,990","Laptop, Power Adaptor, User Guide, Warranty Documents",14-dy0190TU,533T7PA#ACJ,Pavilion x360,Natural Silver,2 in 1 Laptop,Processing & Multitasking,Upto 12 hours,,Yes,,,Intel,Core i3,11th Gen,Yes,256 GB,8 GB,DDR4,1125G4,,1.7 GHz upto max turbo frequency at 3.7 Ghz,,,,8,Intel Integrated UHD,4,64 bit,Windows 11 Home,,Yes,,"1 x SuperSpeed USB Type-C 10 Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1x HDMI 2.0b,,Yes,35.56 cm (14 inch),1920 x 1080 pixel,"""Full HD, IPS, multitouch-enabled, edge-to-edge glass, micro-edge, Brightness: 250 nits, 157 ppi, Color Gamut: 45%NTSC """,Built-in Speaker,Built-in dual array digital microphones,Audio by B&O,,Realtek Wi-Fi CERTIFIED 6 (1x2),v5.2,,322 x 209 x 19.1 mm,1.52 kg,Not Available,HP True Vision 720p HD camera,Yes,"Full-size, backlit, natural silver keyboard",Yes,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,,,,,14-dy0190TU,Windows 11 Home,,"Microsoft Office Home & Student 2019, HP Documentation, HP SSRM, HP Smart",3 cell,,,,,,,,,,,,,,,,,,,,
"67,990","Laptop, Power Adaptor, User Guide, Warranty Documents",15ARH05,82B500MMIN||82B500BHIN,Legion 5,Phantom Black,Gaming Laptop,"Gaming, Processing & Multitasking",Upto 7.1 hours,170 W Slim Tip Adapter,No,GDDR6,4 GB,AMD,Ryzen 5 Hexa Core,,Yes,256 GB,8 GB,DDR4,4600H,AMD SoC,3.0 GHz with Turbo Boost Upto 4.0 GHz,2 Slots,Upto 32 GB,3200 MHz,11 MB,NVIDIA GeForce GTX 1650,6,64 bit,Windows 10 Home,64 bit,Yes,Yes,"3 x USB 3.2 (1st Gen), 1 x USB 3.2 1st Gen (Always On), 1 x USB-C 3.2 Gen 1 (Support Data Transfer and DisplayPort 1.2)",1x HDMI Port (v2.0),NVMe PCIe,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit Anti-glare IPS Display (120Hz Refresh Rate, 45% NTSC Color Gamut, 250 nits Brightness, DC dimmer, 4 Sided Narrow Bezel (Active Area 84%))",Built-in Dual Speakers,Dual Array Microphone,"2W x 2 Stereo Speakers, Dolby Atmos for Gaming, HARMAN-branded Speakers",120 Hz,AX 2x2 (WiFi 6),v5.0,100/1000M,363.06 x 259.61 x 24 mm,2.3 kg,Not Available,720p Webcam (with Privacy Shutter),No,"White Backlit, English Keyboard",Yes,Touchpad,"Integrated 60Wh Battery, Lenovo Q-Control 3.0, Hybrid Mode, Rapid Charge Pro (0-50% in 30 Mins), Anti-oil and High Abrasion Polymer Blend, 100% Anti-ghosting Keyboard, Legion Coldfront 2.0",1 Year Warranty + 1 Year Legion Ultimate Support + 1 Year ADP,Onsite,"(1) Manufacturer’s warranty against faulty workmanship or defective parts; (2) ADP-Single repair once in year against all Liquid spills, unintentional bump and drops, electric surge, cracks on screen; (3) Gamer centric support 24x7 on call support, Software support in case of HDD failure","(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty; (3) Premium Care & ADP- Not covered in case of Theft, fire, rain, flood and part alteration",1 Year,1 TB,5400,Realtek ALC3287,Kensington Security Slot,,,,,,,,,,,,,,,,,,,,,,,,,
"59,490","Laptop, Battery, Adapter, Cables and User Manuals",Vostro 5415,D552205WIN9S,Vostro,Titan Grey,Thin and Light Laptop,Processing & Multitasking,Upto 8 hours,,Yes,,,AMD,Ryzen 5 Hexa Core,,Yes,512 GB,8 GB,DDR4,5500U,,2.4 GHz Upto Max Turbo Frequency at 4 GHz,2,16 GB,3200 MHz,8 MB,AMD Radeon AMD,6,64 bit,Windows 11 Home,64 bit,Yes,Yes,"2 x USB 3.2 Type A,1 x USB 3.2 Type C",1 x HDMI 1.4,M.2 SATA,No,35.56 cm (14 inch),1920 x 1080 Pixel,Full HD WVA AG 250 nits Narrow Border,Yes,Yes,Waves Maxx Audio Pro,,Intel Wi-Fi 6 2x2 (Gig+),v5.0,Available,321 x 214 x 18 mm,1.5 kg,Not Available,HD,Yes,Backlit Keyboard,Yes,Touchpad,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,,,,Kensington Lock Port,Vostro 5415,Windows 11 Home,1 x Micro SD card reader,Microsoft Office Home & Student 2021,4 Cell,,,,,No,No,,,No,McAfee,No,No,NA,,,,,,,
"42,090","Laptop, Power Adaptor, User Guide, Warranty Documents",Inspiron 3501,D560288WIN9S/D560365WIN9,INSPIRON,Black,Laptop,Processing & Multitasking,Upto 6hrs,,Yes,,,Intel,Core i3,10th Gen,No,,8 GB,DDR4,,,,,,,,Intel Integrated Intel Integrated UHD,,,Windows 10 Home,64 bit,,,,,,No,38.0 cm (14.96 Inch),1980 x 1080 pixel,,,,,,,v5.0,,,,Not Available,,,,,,,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",Onsite,Manufacturing Defects,Physical Damage,,1 TB,,,,INSPIRON 3501,,,,,,,,,,,,,,,,,,,,,,,,
"48,490","Laptop, Power Adaptor, User Guide, Warranty Documents",15ITL6/ 15ITL6 Ub,82H8023YIN,Ideapad Slim 3i (2021),Arctic Grey,Thin and Light Laptop,Processing & Multitasking,Upto 7.5 hours,65 W Adapter,Yes,,,Intel,Core i5,11th Gen,Yes,256 GB,8 GB,DDR4,1135G7,Intel SoC Platform,2.4 GHz with Turbo Boost Upto 4.2 Ghz,1 Slot,,3200 MHz,8 MB,Intel Integrated Iris Xe,4,64 bit,Windows 10 Home,64 bit,Yes,No,"1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer only), 1 x USB 2.0",1 x HDMI Port (v1.4b),PCIe NVMe M.2,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit, Anti-Glare Display (250 nits Brightness)",Built-in Dual Stereo Speakers,Built-in Dual Array Microphones,2 x 1.5 W Stereo Speakers with Dolby Audio,,11ac (2x2),v5.0,,359.2 x 236.5 x 19.9 mm,1.65 kg,Not Available,720p Webcam With�Privacy�Shutter,No,Standard English Backlit Keyboard,Yes,Touchpad,"45 Wh Battery, ErP Lot 3, RoHS compliant",2 Years Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty,2 Year,,,"High Definition (HD) Audio, Realtek ALC3287 Codec",,,,4 in 1 Card Reader,Microsoft Office Home and Student 2019,,Firmware TPM 2.0,,,,,,,,,,,,,,,,,,,
"1,39,990","Laptop, battery, power adapter, user guide",Stealth 15M A11UEK-227IN,9S7-156311-227,Stealth 15M,Carbon Gray,Gaming Laptop,Processing & Multitasking,,150W Adapter,No,GDDR6,6 GB,Intel,Core i7,11th Gen,Yes,1 TB,16 GB,DDR4,11375H,,5 GHz Max Turbo Boost Frequency,,,,,NVIDIA GeForce RTX 3060,,64 bit,Windows 10 Home,64,,No,"2 x Type-A USB3.2 Gen1, 1x Type-C (USB3.2 Gen2 / DP), 1x Type-C (USB4 / DP / Thunderbolt 4) with PD charging",1 x HDMI Port,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit IPS Display (144Hz Refresh Rate, 45%NTSC Color Gamut)",Built in Dual Speakers,Built-in Microphones,2x 2W Stereo Speakers,144 Hz,Intel Wi-Fi 6 AX201(2*2 ax),v5.1,,358.3 x 248 x 16.15,1.7 KG,Not Available,720p HD Webcam (30fps@720p),,RGB Gaming Keyboard,Yes,Touchpad,"3-Cell, 52 Whr Battery",2 Year Warranty Term for Gaming & Content Creation (EU-WE),Carry-In Warranty,Part Failure,"Physical Damage, Burn, Liquid Spill",,,,Realtek ALC233,,Stealth 15M A11UEK-227IN,,1x Micro SD Card Reader,"Silver-Lining Print, Cooler Boost, Audio Boost, Dragon Center, Nahimic 3",3,,65 W,,,,,,,,,,,,,,,,,,
